symbol,direction,volatility_regime,trend_regime,gap_regime,higher_timeframe_alignment,time_window,model,signal_time,decision,status,rejection_reason,confirmation_type,base_return,entry_time,tree,realized_return,exit_reason,target_1_hit,target_2_hit,target_3_hit,stop_first,invalidated_quickly,mfe,mae,hold_minutes
QQQ,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_D_REGIME_SELECTIVE,2026-05-21T13:10:00-04:00,reject,REJECTED,regime gate failed,production baseline,0.49999999999998845,,,,,,,,,,,,
SPY,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_D_REGIME_SELECTIVE,2026-05-21T13:15:00-04:00,reject,REJECTED,regime gate failed,production baseline,0.4999999999999884,,,,,,,,,,,,
QQQ,bullish,normal,mixed/neutral,gap continuation,aligned,13:00-14:00,MODEL_D_REGIME_SELECTIVE,2026-05-22T13:25:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.2499999999999912,,,,,,,,,,,,
SPY,bullish,normal,mixed/neutral,gap continuation,aligned,13:00-14:00,MODEL_D_REGIME_SELECTIVE,2026-05-22T13:25:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.24999999999998906,,,,,,,,,,,,
QQQ,bullish,high-volatility expansion,mixed/neutral,no meaningful gap,aligned,10:00-11:00,MODEL_D_REGIME_SELECTIVE,2026-05-28T10:10:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999999314,2026-05-28T10:10:00-04:00,,-0.24999999999999314,STOP,False,False,False,True,True,0.03687481600100289,-0.32091258834869174,10.0
SPY,bullish,high-volatility expansion,mixed/neutral,small gap,aligned,10:00-11:00,MODEL_D_REGIME_SELECTIVE,2026-05-28T10:10:00-04:00,participate,ACTIVE,,production baseline,0.1922170571160066,2026-05-28T10:10:00-04:00,,0.1922170571160066,TIME_EXIT,False,False,False,False,False,0.24831953937933085,-0.17661502325918788,240.0
QQQ,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_D_REGIME_SELECTIVE,2026-06-01T13:40:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.2500000000000006,,,,,,,,,,,,
SPY,bullish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_D_REGIME_SELECTIVE,2026-06-01T13:40:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.24999999999999103,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,14:00-15:00,MODEL_D_REGIME_SELECTIVE,2026-06-05T14:25:00-04:00,reject,REJECTED,regime gate failed,production baseline,0.4999999999999974,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_D_REGIME_SELECTIVE,2026-06-09T10:45:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.25000000000000067,,,,,,,,,,,,
