symbol,direction,volatility_regime,trend_regime,gap_regime,higher_timeframe_alignment,time_window,model,signal_time,decision,status,rejection_reason,confirmation_type,base_return,entry_time,tree,realized_return,exit_reason,target_1_hit,target_2_hit,target_3_hit,stop_first,invalidated_quickly,mfe,mae,hold_minutes
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,14:00-15:00,MODEL_C_DIRECTION_SELECTIVE,2026-06-05T14:25:00-04:00,participate,ACTIVE,,production baseline,0.4999999999999974,2026-06-05T14:25:00-04:00,,0.4999999999999974,TARGET_1,True,False,False,False,False,0.6640270563633879,-0.046428312907423046,45.0
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_C_DIRECTION_SELECTIVE,2026-06-09T10:45:00-04:00,participate,ACTIVE,,production baseline,-0.25000000000000067,2026-06-09T10:45:00-04:00,,-0.25000000000000067,STOP,False,False,False,True,True,0.10947677636156891,-0.3015827403628666,5.0
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_C_DIRECTION_SELECTIVE,2026-06-09T10:45:00-04:00,participate,ACTIVE,,production baseline,-0.25,2026-06-09T10:45:00-04:00,,-0.25,STOP,False,False,False,True,True,0.08296185614078778,-0.3454530361515793,10.0
QQQ,bullish,normal,mixed/neutral,gap reversal,neutral,14:00-15:00,MODEL_C_DIRECTION_SELECTIVE,2026-06-17T14:40:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999999692,2026-06-17T14:40:00-04:00,,-0.24999999999999692,STOP,False,False,False,True,True,0.006801060267857143,-0.25374016794217685,5.0
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,13:00-14:00,MODEL_C_DIRECTION_SELECTIVE,2026-06-24T13:15:00-04:00,participate,ACTIVE,,production baseline,-0.2500000000000006,2026-06-24T13:15:00-04:00,,-0.2500000000000006,STOP,False,False,False,True,False,0.4060914718877888,-0.7563145918037959,165.0
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_C_DIRECTION_SELECTIVE,2026-06-26T14:45:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999998695,2026-06-26T14:45:00-04:00,,-0.24999999999998695,STOP,False,False,False,True,False,0.1024381548191874,-0.2500004585787494,60.0
QQQ,bearish,high-volatility expansion,mixed/neutral,no meaningful gap,aligned,10:00-11:00,MODEL_C_DIRECTION_SELECTIVE,2026-07-02T10:40:00-04:00,reject,REJECTED,symbol-direction weak in prior data,production baseline,0.4999999999999987,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,11:00-13:00,MODEL_C_DIRECTION_SELECTIVE,2026-07-16T12:10:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999999806,2026-07-16T12:10:00-04:00,,-0.24999999999999806,STOP,False,False,False,True,True,0.10756230702912563,-1.3926882980573514,15.0
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_C_DIRECTION_SELECTIVE,2026-07-20T14:40:00-04:00,participate,ACTIVE,,production baseline,-0.2499999999999948,2026-07-20T14:40:00-04:00,,-0.2499999999999948,STOP,False,False,False,True,False,0.3296008657106728,-1.335608167957807,80.0
SPY,bearish,normal,mixed/neutral,gap reversal,aligned,14:00-15:00,MODEL_C_DIRECTION_SELECTIVE,2026-07-20T14:40:00-04:00,reject,REJECTED,symbol-direction weak in prior data,production baseline,-0.2500000000000006,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,09:30-10:00,MODEL_C_DIRECTION_SELECTIVE,2026-07-24T09:50:00-04:00,reject,REJECTED,symbol-direction weak in prior data,production baseline,-0.24999999999999004,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_C_DIRECTION_SELECTIVE,2026-07-27T10:25:00-04:00,reject,REJECTED,symbol-direction weak in prior data,production baseline,0.500000000000002,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,14:00-15:00,MODEL_C_DIRECTION_SELECTIVE,2026-07-28T14:10:00-04:00,participate,ACTIVE,,production baseline,-0.24999999999999867,2026-07-28T14:10:00-04:00,,-0.24999999999999867,STOP,False,False,False,True,False,0.013346693882958078,-0.36788801717196296,50.0
QQQ,bullish,normal,mixed/neutral,gap continuation,aligned,09:30-10:00,MODEL_D_REGIME_SELECTIVE,2026-05-08T09:45:00-04:00,reject,REJECTED,regime gate failed,production baseline,0.4999999999999935,,,,,,,,,,,,
QQQ,bullish,normal,bullish trend,no meaningful gap,aligned,09:30-10:00,MODEL_D_REGIME_SELECTIVE,2026-05-14T09:45:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.24999999999998926,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap reversal,aligned,10:00-11:00,MODEL_D_REGIME_SELECTIVE,2026-05-18T10:30:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.24999999999999223,,,,,,,,,,,,
QQQ,bearish,normal,mixed/neutral,gap continuation,aligned,10:00-11:00,MODEL_D_REGIME_SELECTIVE,2026-05-19T10:05:00-04:00,reject,REJECTED,regime gate failed,production baseline,-0.2499999999999987,,,,,,,,,,,,
