model,symbol,signal_time,direction,setup,regime,gap_classification,hour,higher_timeframe_alignment,status,reason,confirmed_at,entry_time,entry_delay_minutes,risk_reward,base_return,base_exit_reason,realized_return,exit_reason,target_1_hit,target_2_hit,target_3_hit,stop_first,invalidated_quickly,mfe,mae,hold_minutes,late,formation_delay_minutes
MODEL_B_CLOSE_ONLY,QQQ,2026-05-18T10:30:00-04:00,Bearish,BEARISH SETUP,opening gap reversal,>1.00 ATR,10:00-11:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-18T10:30:00-04:00,2026-05-18T10:30:00-04:00,0.0,2.0000000000000644,-0.24999999999999223,STOP,-0.24999999999999223,STOP,False,False,False,True,True,0.17104694656445527,-0.3361111084617298,10.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-05-19T10:05:00-04:00,Bearish,BEARISH SETUP,opening gap continuation,>1.00 ATR,10:00-11:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-19T10:05:00-04:00,2026-05-19T10:05:00-04:00,0.0,2.0,-0.2499999999999987,STOP,-0.2499999999999987,STOP,False,False,False,True,False,0.4481679228803699,-0.2920930635784603,95.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-05-21T13:10:00-04:00,Bullish,BULLISH SETUP,opening gap reversal,>1.00 ATR,13:00-14:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-21T13:10:00-04:00,2026-05-21T13:10:00-04:00,0.0,2.0,0.49999999999998845,TARGET_1,0.49999999999998845,TARGET_1,True,False,False,False,False,0.5182382881215616,-0.02245830683910303,30.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-05-22T13:25:00-04:00,Bullish,BULLISH SETUP,opening gap continuation,>1.00 ATR,13:00-14:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-22T13:25:00-04:00,2026-05-22T13:25:00-04:00,0.0,2.0,-0.2499999999999912,STOP,-0.2499999999999912,STOP,False,False,False,True,False,0.038785361202310686,-0.2937016615134645,35.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-05-28T10:10:00-04:00,Bullish,BULLISH SETUP,high-volatility expansion,<0.25 ATR,10:00-11:00,aligned,ACTIVE,close confirmed beyond trigger,2026-05-28T10:10:00-04:00,2026-05-28T10:10:00-04:00,0.0,2.0,-0.24999999999999314,STOP,-0.24999999999999314,STOP,False,False,False,True,True,0.03687481600100289,-0.32091258834869174,10.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-06-01T13:40:00-04:00,Bullish,BULLISH SETUP,opening gap reversal,>1.00 ATR,13:00-14:00,aligned,ACTIVE,close confirmed beyond trigger,2026-06-01T13:40:00-04:00,2026-06-01T13:40:00-04:00,0.0,1.999999999999939,-0.2500000000000006,STOP,-0.2500000000000006,STOP,False,False,False,True,False,0.13429307857866382,-0.255160127939075,125.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-06-05T14:25:00-04:00,Bearish,BEARISH SETUP,opening gap continuation,>1.00 ATR,14:00-15:00,aligned,ACTIVE,close confirmed beyond trigger,2026-06-05T14:25:00-04:00,2026-06-05T14:25:00-04:00,0.0,2.0,0.4999999999999974,TARGET_1,0.4999999999999974,TARGET_1,True,False,False,False,False,0.6640270563633879,-0.046428312907423046,45.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-06-09T10:45:00-04:00,Bearish,BEARISH SETUP,opening gap reversal,>1.00 ATR,10:00-11:00,aligned,ACTIVE,close confirmed beyond trigger,2026-06-09T10:45:00-04:00,2026-06-09T10:45:00-04:00,0.0,2.0,-0.25000000000000067,STOP,-0.25000000000000067,STOP,False,False,False,True,True,0.10947677636156891,-0.3015827403628666,5.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-06-17T14:40:00-04:00,Bullish,BULLISH SETUP,opening gap reversal,>1.00 ATR,14:00-15:00,neutral,ACTIVE,close confirmed beyond trigger,2026-06-17T14:40:00-04:00,2026-06-17T14:40:00-04:00,0.0,2.0,-0.24999999999999692,STOP,-0.24999999999999692,STOP,False,False,False,True,True,0.006801060267857143,-0.25374016794217685,5.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-07-02T10:40:00-04:00,Bearish,BEARISH SETUP,high-volatility expansion,<0.25 ATR,10:00-11:00,aligned,ACTIVE,close confirmed beyond trigger,2026-07-02T10:40:00-04:00,2026-07-02T10:40:00-04:00,0.0,2.0,0.4999999999999987,TARGET_1,0.4999999999999987,TARGET_1,True,False,False,False,False,0.6021690580527029,-0.19538685349245405,25.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-07-16T12:10:00-04:00,Bearish,BEARISH SETUP,opening gap continuation,>1.00 ATR,11:00-13:00,aligned,ACTIVE,close confirmed beyond trigger,2026-07-16T12:10:00-04:00,2026-07-16T12:10:00-04:00,0.0,2.0,-0.24999999999999806,STOP,-0.24999999999999806,STOP,False,False,False,True,True,0.10756230702912563,-1.3926882980573514,15.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-07-20T14:40:00-04:00,Bearish,BEARISH SETUP,opening gap reversal,>1.00 ATR,14:00-15:00,aligned,ACTIVE,close confirmed beyond trigger,2026-07-20T14:40:00-04:00,2026-07-20T14:40:00-04:00,0.0,2.0000000000000653,-0.2499999999999948,STOP,-0.2499999999999948,STOP,False,False,False,True,False,0.3296008657106728,-1.335608167957807,80.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-07-24T09:50:00-04:00,Bearish,BEARISH SETUP,opening gap continuation,>1.00 ATR,09:30-10:00,aligned,ACTIVE,close confirmed beyond trigger,2026-07-24T09:50:00-04:00,2026-07-24T09:50:00-04:00,0.0,2.000000000000066,-0.24999999999999004,STOP,-0.24999999999999004,STOP,False,False,False,True,True,0.12104844563701755,-0.33686877161062795,15.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-07-27T10:25:00-04:00,Bearish,BEARISH SETUP,opening gap reversal,>1.00 ATR,10:00-11:00,aligned,ACTIVE,close confirmed beyond trigger,2026-07-27T10:25:00-04:00,2026-07-27T10:25:00-04:00,0.0,2.000000000000067,0.500000000000002,TARGET_1,0.500000000000002,TARGET_1,True,False,False,False,False,0.5173247188602005,-0.06622187580200378,15.0,False,0.0
MODEL_B_CLOSE_ONLY,QQQ,2026-07-28T14:10:00-04:00,Bearish,BEARISH SETUP,opening gap continuation,>1.00 ATR,14:00-15:00,aligned,ACTIVE,close confirmed beyond trigger,2026-07-28T14:10:00-04:00,2026-07-28T14:10:00-04:00,0.0,2.0,-0.24999999999999867,STOP,-0.24999999999999867,STOP,False,False,False,True,False,0.013346693882958078,-0.36788801717196296,50.0,False,0.0
