symbol,period,timeframe,signal_time,exit_time,direction,setup,confidence,confidence_bucket,entry,exit,realized_return,exit_reason,hold_minutes,mfe,mae,target_1_hit,target_2_hit,target_3_hit,stop_first,late,invalidated_quickly,formation_delay_minutes,hour,regime,higher_timeframe_alignment,failure_modes
QQQ,60-trading-days,5m,2026-05-19T10:05:00-04:00,2026-05-19T11:40:00-04:00,Bearish,BEARISH SETUP,97.0,95-100,698.4000244140625,700.1460244750976,-0.2499999999999987,STOP,95.0,0.4481679228803699,-0.2920930635784603,False,False,False,True,False,False,0.0,10:00,opening gap continuation,aligned,"['false breakout', 'gap distortion']"
QQQ,60-trading-days,5m,2026-05-21T13:10:00-04:00,2026-05-21T13:40:00-04:00,Bullish,BULLISH SETUP,92.0,90-94,712.0399169921875,715.6001165771484,0.49999999999998845,TARGET_1,30.0,0.5182382881215616,-0.02245830683910303,True,False,False,False,False,False,0.0,13:00,opening gap reversal,aligned,[]
QQQ,60-trading-days,5m,2026-05-22T13:25:00-04:00,2026-05-22T14:00:00-04:00,Bullish,BULLISH SETUP,100.0,95-100,721.8400268554688,720.0354267883301,-0.2499999999999912,STOP,35.0,0.038785361202310686,-0.2937016615134645,False,False,False,True,False,False,0.0,13:00,opening gap continuation,aligned,"['false breakout', 'gap distortion']"
QQQ,60-trading-days,5m,2026-05-28T10:10:00-04:00,2026-05-28T10:20:00-04:00,Bullish,BULLISH SETUP,100.0,95-100,732.260009765625,730.429359741211,-0.24999999999999314,STOP,10.0,0.03687481600100289,-0.32091258834869174,False,False,False,True,True,True,0.0,10:00,high-volatility expansion,aligned,"['entered after extension', 'false breakout', 'signal reversed immediately']"
QQQ,60-trading-days,5m,2026-06-01T13:40:00-04:00,2026-06-01T15:45:00-04:00,Bullish,BULLISH SETUP,93.0,90-94,744.6400146484375,742.7784146118164,-0.2500000000000006,STOP,125.0,0.13429307857866382,-0.255160127939075,False,False,False,True,False,False,0.0,13:00,opening gap reversal,aligned,"['false breakout', 'gap distortion', 'momentum exhaustion']"
QQQ,60-trading-days,5m,2026-06-05T14:25:00-04:00,2026-06-05T15:10:00-04:00,Bearish,BEARISH SETUP,92.0,90-94,710.8099975585938,707.2559475708008,0.4999999999999974,TARGET_1,45.0,0.6640270563633879,-0.046428312907423046,True,False,False,False,False,False,0.0,14:00,opening gap continuation,aligned,[]
QQQ,60-trading-days,5m,2026-06-09T10:45:00-04:00,2026-06-09T10:50:00-04:00,Bearish,BEARISH SETUP,90.0,90-94,707.9349975585938,709.7048350524902,-0.25000000000000067,STOP,5.0,0.10947677636156891,-0.3015827403628666,False,False,False,True,True,True,5.0,10:00,opening gap reversal,aligned,"['entered after extension', 'false breakout', 'gap distortion', 'momentum exhaustion', 'signal reversed immediately']"
QQQ,60-trading-days,5m,2026-06-17T14:40:00-04:00,2026-06-17T14:45:00-04:00,Bullish,BULLISH SETUP,90.0,90-94,735.0,733.1625,-0.24999999999999692,STOP,5.0,0.006801060267857143,-0.25374016794217685,False,False,False,True,False,True,0.0,14:00,opening gap reversal,partially aligned,"['false breakout', 'gap distortion', 'signal reversed immediately', 'time-of-day weakness']"
QQQ,60-trading-days,5m,2026-07-02T10:40:00-04:00,2026-07-02T11:05:00-04:00,Bearish,BEARISH SETUP,90.0,90-94,719.0700073242188,715.4746572875977,0.4999999999999987,TARGET_1,25.0,0.6021690580527029,-0.19538685349245405,True,False,False,False,True,False,0.0,10:00,high-volatility expansion,aligned,[]
QQQ,60-trading-days,5m,2026-07-16T12:10:00-04:00,2026-07-16T12:25:00-04:00,Bearish,BEARISH SETUP,92.0,90-94,707.8814086914062,709.6511122131348,-0.24999999999999806,STOP,15.0,0.10756230702912563,-1.3926882980573514,False,False,False,True,False,True,0.0,12:00,opening gap continuation,aligned,"['false breakout', 'gap distortion', 'signal reversed immediately']"
QQQ,60-trading-days,5m,2026-07-20T14:40:00-04:00,2026-07-21T09:30:00-04:00,Bearish,BEARISH SETUP,92.0,90-94,697.8099975585938,699.5545225524902,-0.2499999999999948,STOP,80.0,0.3296008657106728,-1.335608167957807,False,False,False,True,False,False,0.0,14:00,opening gap reversal,aligned,"['false breakout', 'gap distortion', 'time-of-day weakness']"
QQQ,60-trading-days,5m,2026-07-24T09:50:00-04:00,2026-07-24T10:05:00-04:00,Bearish,BEARISH SETUP,97.0,95-100,685.6900024414062,687.4042274475097,-0.24999999999999004,STOP,15.0,0.12104844563701755,-0.33686877161062795,False,False,False,True,True,True,0.0,09:00,opening gap continuation,aligned,"['entered after extension', 'false breakout', 'gap distortion', 'signal reversed immediately']"
QQQ,60-trading-days,5m,2026-07-27T10:25:00-04:00,2026-07-27T10:40:00-04:00,Bearish,BEARISH SETUP,94.0,90-94,679.4600219726562,676.062721862793,0.500000000000002,TARGET_1,15.0,0.5173247188602005,-0.06622187580200378,True,False,False,False,True,False,5.0,10:00,opening gap reversal,aligned,[]
QQQ,60-trading-days,5m,2026-07-28T14:10:00-04:00,2026-07-28T15:00:00-04:00,Bearish,BEARISH SETUP,90.0,90-94,675.4401245117188,677.128724822998,-0.24999999999999867,STOP,50.0,0.013346693882958078,-0.36788801717196296,False,False,False,True,False,False,0.0,14:00,opening gap continuation,aligned,"['false breakout', 'gap distortion', 'low-volume breakout', 'time-of-day weakness']"
QQQ,12-months,60m,2025-10-01T13:30:00-04:00,2025-10-02T09:30:00-04:00,Bullish,BULLISH SETUP,92.0,90-94,603.25,606.2662499999999,0.49999999999998346,TARGET_1,180.0,0.6406946099254041,-0.03481508042374637,True,False,False,False,False,False,0.0,13:00,opening gap reversal,aligned,[]
